ID,numAdults,numChild,grpSize,grpType,hoursPark,daysPark,local,overnight,nightsCampIn,nightsCampOut,nightsLodgeIn,nightsLodgeOut,nightsOther,tripPurpose,equallyNearby,primaryNearby,otherNPS,otherNPSunits,entries,DKentries,expLocalTotal,expGas,expRentalCar,expPubTrans,expSnacks,expGroceries,expHotels,expcamp,expRec,expSouvenirs,expEqpRental,expRail,expGuides,expOther,expOtherSpec,DKexpLocal,adultsCovered,childrenCovered,numSplit,zip
C0011,2,0,2,1,1.5,NA,1,0,NA,NA,NA,NA,NA,3,NA,1,0, ,1,NA,10,5,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,6,12,5,DK
C0027,2,0,2,3,3,NA,0,1,NA,NA,NA,NA,0,2,1,1,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0030,2,2,4,3,NA,2,0,1,0,0,1,NA,NA,2,0,NA,0, ,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0, ,NA,NA,NA,NA,55555
C0046,2,0,2,3,2,NA,0,1,0,0,0,1,NA,3,NA,0,0, ,2,NA,216,10,0,0,20,20,150,0,0,0,0,6,0,0, ,NA,2,NA,NA,55555
C0049,1,0,1,1,0.5,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,3,NA,377,38,0,0,6,11,278,0,0,0,0,6,0,0, ,NA,2,0,2,55555
C0050,2,0,2,3,7,NA,0,1,0,0,1,NA,NA,1,1,1,1,"ZION, BRYCE CANYON, DEATH VALLEY, YOSEMITE",1,NA,50,0,0,0,15,0,0,0,0,0,0,0,0,35,MEAL,NA,2,1,1,55555
C0054,1,0,1,1,0.58,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,20,0,0,0,20,0,0,0,0,0,0,0,0,0, ,NA,2,2,1,55555
C0055,2,1,3,3,NA,5,0,1,0,4,0,0,0,1,NA,NA,1,"ACADIA, SHENANDOAH, GREAT SMOKY MOUNTAINS",2,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0, ,NA,1,1,1,6788
C0069,3,2,5,3,3,NA,0,1,0,0,0,0,0,3,NA,NA,0, ,1,NA,15,5,0,0,5,0,0,0,0,0,0,0,0,0, ,NA,1,1,1,55555
C0083,4,0,4,3,1,NA,0,0,NA,NA,NA,NA,NA,2,1,0,1,"MESA VERDE, BADLANDS",1,NA,225,30,0,0,15,0,80,0,0,20,0,50,0,0, ,NA,2,1,2,55555
C0089,1,0,1,1,2,NA,0,1,0,0,0,12,0,2,1,0,0, ,1,NA,43.24,20,0,0,3.24,0,0,0,0,0,0,0,0,0, ,NA,2,0,1,55555
C0096,4,0,4,3,2,NA,NA,0,NA,NA,NA,NA,NA,2,NA,1,0, ,2,NA,20,10,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,2,NA,NA,55555
C0117,2,0,2,2,3.75,NA,0,1,0,0,0,1,0,2,0,NA,0, ,1,NA,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0139,3,0,3,3,0.5,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,NA,99,260,30,0,0,100,100,0,0,0,0,0,0,0,0, ,NA,1,NA,NA,55555
C0161,2,2,4,3,3,NA,0,1,0,0,0,1,0,2,0,NA,1,ASSATEAGUE ISLAND,0,99,20,5,0,0,0,0,0,0,0,0,10,0,0,0, ,NA,1,NA,1,55555
C0164,2,0,2,3,3,2,NA,NA,0,0,NA,1,0,NA,NA,NA,NA, ,2,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA, 
C0200,2,0,2,3,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0203,2,0,2,3,9,NA,0,0,NA,NA,NA,NA,NA,2,NA,0,1,ACADIA,3,99,25,5,0,0,15,0,0,0,0,0,0,0,0,0, ,NA,2,0,1, 
C0235,3,0,3,3,4,NA,1,1,0,0,0,10,0,2,1,0,0, ,1,NA,20,10,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0254,1,0,1,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,BLUE RIDGE PARKWAY,NA,NA,88,5,0,0,25,0,0,0,0,5,0,48,0,0, ,NA,2,1,0,55555
C0255,2,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA, 
C0271,1,0,1,1,0.5,NA,1,0,NA,NA,NA,NA,NA,2,1,1,0, ,1,NA,4,2,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0272,2,1,3,3,2.5,NA,0,0,NA,NA,NA,NA,NA,3,NA,0,1,JAMES A. GARFIELD,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0292,2,0,2,3,4,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,0, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,0,0,0,MACEDONIA
C0324,1,0,1,1,25,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,15,0,0,0,10,5,0,0,0,0,0,0,0,0, ,NA,2,1,NA,55555
C0409,3,0,3,3,4,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,70,30,0,0,10,0,0,0,0,0,0,0,0,0, ,NA,3,NA,NA,7040
C0428,2,0,2,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,NA,3,0,0,0,3,0,0,0,0,0,0,0,0,0, ,NA,1,0,1,55555
C0445,2,0,2,3,2,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,4,NA,NA,9999
C0492,4,2,6,3,2,NA,0,1,0,0,0,0,1,3,NA,1,0, ,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,NA,NA,NA,55555
C0507,60,40,100,5,4,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,1,NA,0,55555
C0559,4,0,4,4,4,NA,1,1,1,0,0,0,0,2,NA,NA,0, ,1,NA,93,0,0,0,40,10,0,0,0,0,0,43,0,0, ,NA,2,3,1,55555
C0564,2,0,2,3,25,NA,0,0,NA,NA,NA,NA,NA,3,NA,1,0, ,1,NA,76,15,0,0,5,0,0,0,0,10,0,31,0,0, ,NA,1,1,NA,55555
C0570,40,15,55,3,4,NA,0,1,0,0,4,0,0,2,1,NA,0, ,2,NA,18,0,0,0,8,0,0,0,0,0,0,0,0,10,PARK PASS,NA,NA,NA,1,55555
C0573,2,3,5,3,4,NA,0,1,0,0,0,0,14,3,NA,1,0, ,1,NA,110,50,0,0,5,5,0,0,0,0,0,0,0,0, ,NA,3,NA,1,55555
C0601,3,2,5,3,5,NA,0,1,0,0,0,1,0,2,0,NA,1,ACADIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA,NA
C0608,2,2,4,3,7,NA,0,0,NA,NA,NA,NA,NA,2,0,0,1,"MAMMOTH CAVE, HOT SPRINGS, CONGAREE, GREAT SMOKY MOUNTAINS",1,NA,188,29,0,0,10,5,110,0,0,5,0,0,0,0, ,NA,2,NA,2,55555
C0631,2,0,2,3,4,NA,0,1,0,0,0,1,1,2,0,0,1,WILLIAM HOWARD TAFT,2,NA,1200,0,0,0,0,0,0,0,0,0,0,0,0,1200,BICYCLE,NA,2,1,1,55555
C0642,2,5,7,3,7,NA,0,0,NA,NA,NA,NA,NA,2,0,NA,1,STEAMTOWN,1,NA,11.95,0,0,0,0,0,0,0,0,11.95,0,0,0,0, ,NA,2,4,1,55555
C0650,2,0,2,1,3,NA,0,0,NA,NA,NA,NA,NA,2,0,NA,1,"SHILOH, ERIE CANAL, LINCOLN HOME",1,NA,20,10,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0684,2,0,2,3,3,NA,0,1,0,0,0,2,0,2,1,NA,0, ,1,NA,54,0,0,0,0,0,0,0,0,0,0,0,0,54, ,NA,3,NA,3,NA
C0685,2,0,2,3,3,NA,0,1,0,0,0,1,0,2,0,0,1,JAMESTOWN,1,NA,35,10,0,0,15,0,0,0,0,0,0,0,0,0, ,NA,2,2,NA,55555
C0705,1,0,1,1,NA,60,1,1,59,0,0,0,0,1,NA,NA,0, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA,55555
C0731,2,0,2,2,1,NA,0,1,0,0,0,0,8,2,1,NA,0, ,1,NA,85,20,0,0,15,0,0,0,0,0,0,0,0,30,MEAL,NA,2,NA,0,55555
C0746,2,0,2,3,3,NA,0,0,NA,NA,NA,NA,NA,3,NA,1,1,ROCKY MOUNTAIN,1,NA,550,0,0,0,0,90,460,0,0,0,0,0,0,0, ,NA,2,NA,1,GERMANY
C0762,1,0,1,1,1,NA,1,1,0,0,0,0,0,3,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA, 
C0793,8,0,8,2,3,NA,0,1,0,0,0,1,0,2,1,NA,0, ,1,NA,52,10,0,0,20,0,0,0,0,0,0,12,0,0, ,NA,4,NA,2,55555
C0824,4,0,4,3,4,NA,0,1,0,0,0,0,7,1,1,1,0, ,2,NA,179,10,0,0,0,0,0,0,0,0,0,104,0,55,MEAL,NA,2,2,1,55555
C0860,2,3,5,3,25,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,0,0,0,55555
C0883,3,1,4,3,2,NA,0,1,0,0,0,0,0,2,1,NA,1,SLEEPING BEAR DUNES,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,0,1,55555
C0884,2,0,2,3,3,NA,0,0,NA,NA,NA,NA,NA,3,NA,0,1,"PIPESTONE, BADLANDS, MOUNT RUSHMORE, GRAND TETON, FOSSIL BUTTE, HERBERT HOOVER",2,NA,75,0,0,0,20,30,0,25,0,0,0,0,0,0, ,NA,5,0,0,55555
C0885,2,0,2,1,6,NA,0,0,NA,NA,NA,NA,NA,2,0,0,1,ACADIA,1,NA,9,0,0,0,3,0,0,0,0,0,0,6,0,0, ,NA,2,NA,NA,55555
C0895,2,0,2,3,NA,2,0,1,0,2,0,0,0,2,0,NA,1,"MARTIN VAN BUREN, SARATOGA, FORT STANWIX, WOMEN'S RIGHTS, THEODORE ROOSEVELT INAUGURAL, JAMES A. GARFIELD, FIRST LADIES",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,2,0,0,55555
C0899,2,0,2,3,9,NA,0,1,0,0,0,3,0,2,1,NA,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0900,2,0,2,3,2,NA,0,1,0,0,0,2,0,3,NA,1,1,NATIONAL MALL,1,NA,510,30,0,0,75,0,0,0,0,75,0,300,0,0, ,NA,9,4,7,55555
C0921,2,0,2,1,3,NA,0,1,0,0,0,2,0,3,NA,1,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,2,NA,2,55555
C0961,2,0,2,3,2,NA,1,0,NA,NA,NA,NA,NA,2,1,NA,0, ,1,NA,310,70,0,0,10,0,160,0,0,0,0,0,0,0,CLEVELAND SCIENCE CENTER,NA,3,2,NA,CANADA
C0964,2,1,3,3,3,NA,0,0,NA,NA,NA,NA,NA,2,0,NA,1,"MAMMOTH CAVE, GREAT SMOKY MOUNTAINS",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,0,1,55555
C0965,2,0,2,2,5,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA, 
C0967,2,0,2,1,4,NA,0,1,0,0,0,1,0,3,NA,0,1,NEW RIVER GORGE,1,NA,175,30,0,0,10,0,0,0,45,0,0,0,0,60, ,NA,1,NA,2,55555
C0978,2,0,2,3,8,NA,0,1,0,0,0,0,1,2,0,0,NA,"MOUNT RUSHMORE, DEATH VALLEY, YELLOWSTONE, YOSEMITE, GLACIER",NA,99,45,10,0,0,15,10,0,0,0,0,0,0,0,0, ,NA,2,1,1,55555
C0986,2,0,2,3,NA,2,0,1,0,0,2,0,0,2,0,0,1,NATIONAL MALL,1,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C0990,2,0,2,3,2,NA,0,0,NA,NA,NA,NA,NA,2,0,0,NA,"THEODORE ROOSEVELT, ARCHES, CANYONLANDS, MESA VERDE, CAPITAL REEF, GREAT SAND DUNES, BLACK CANYON OF THE GUNNISON, COLORADO, MAMMOTH CAVE, SCOTTS BLUFF",1,NA,12,0,0,0,12,0,0,0,0,0,0,0,0,0, ,NA,2,NA,1,55555
C1002,2,0,2,3,NA,2,1,1,1,0,0,0,0,2,1,NA,0, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,33,NA,33, 
C1017,2,0,2,1,8,NA,0,0,NA,NA,NA,NA,NA,2,1,NA,1,"JAMES A. GARFIELD, RIVER RAISIN, PERRY'S VICTORY",3,NA,412,80,0,0,35,20,0,137,0,60,0,0,0,0, ,NA,2,2,1,55555
C1020,2,2,4,3,3,NA,0,0,NA,NA,NA,NA,NA,2,0,NA,NA,NATIONAL MALL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA,55555
C1030,3,0,3,3,2,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,3,NA,1915,50,0,0,35,500,1050,0,30,200,0,0,0,0, ,NA,2,0,2,CANADA
C1053,2,0,2,3,3,NA,0,1,0,0,0,1,0,2,0,NA,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,1,0,1,55555
C1059,2,0,2,4,3,NA,0,1,0,0,0,2,0,2,0,NA,0, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,55555
C1062,2,0,2,3,2,NA,0,0,NA,NA,NA,NA,NA,2,NA,NA,1,"BROWN VS BOARD OF EDUCATION, HARRY S TRUMAN, GRAND CANYON, HUBBEL TRADING POST, INDIANA DUNES, HERBERT HOOVER",1,NA,132,35,0,0,0,0,0,52,0,10,0,0,0,0, ,NA,2,NA,0,55555
C1081,2,0,2,3,NA,NA,NA,1,0,2,1,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA, 
C1083,25,6,31,3,5.5,NA,0,1,0,0,0,3,0,NA,1,1,0, ,NA,NA,3,0,0,0,3,0,0,0,0,0,0,0,0,0, ,NA,2,NA,NA,55555
C1093,2,0,2,3,10,NA,0,1,0,1,0,0,0,2,0,NA,1,ACADIA,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,55555
