"","day_local","day_nonlocal","ON_Other","ON_Lodge","ON_Camp"
"expGas",8.87,10.65,1.56,3.45,3.42
"expRentalCar",1.16,0.67,0,0,0
"expPubTrans",0.01,0.1,0,0,0
"expSnacks",8.99,8.33,1.17,4.03,2.48
"expGroceries",4.03,2.68,0.33,0.75,0.24
"expHotels",17.31,18.5,5.2,10.07,7.08
"expcamp",2.18,3.46,0,0.26,0
"expRec",1.34,1.54,0.65,0.29,0
"expSouvenirs",2.67,3.54,0,1.93,4.66
"expEqpRental",1.6,0.43,0,0.95,0
"expGuides",0.1,0,0,0.39,0
"expRail",6.17,4.94,1.98,4.55,3.25
"expOther",5.26,12.62,1.16,3.99,1.68
"Avg.Spending/Party_Day",59.69,67.46,NA,NA,NA
"Avg.Spending/Party_Night",NA,NA,12.05,30.66,22.81
