"","Spending_All.Visitors","Spending_nonLocal.Visitors"
"expGas",7034743.555768,2360306.39483349
"expRentalCar",723768.03128,120667.416153846
"expPubTrans",23131.629,17238.2023076923
"expSnacks",6681916.223168,1978367.37133937
"expGroceries",2669418.544872,550158.241268393
"expHotels",13733655.22231,4811239.14806077
"expcamp",1778394.098556,620575.283076923
"expRec",1028772.459764,334383.253550426
"expSouvenirs",2371636.003604,987619.184019443
"expEqpRental",996107.22949,170336.860986762
"expGuides",87506.083874,38303.3646444889
"expRail",4718508.931873,1471962.85489306
"expOther",5476343.820738,2771286.65841548
"Total_Visitor_Spending",47323901.834297,16232444.2335501
