"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other","MEAN_byEXP"
"expGas",8.95,10.75,10.92,8.61,6.25,8.21,6.32,9.31
"expRentalCar",1.16,0.68,0,1.61,0,0,0,1.01
"expPubTrans",0.01,0.1,0,0,0,0,0,0.03
"expSnacks",9.03,8.41,4.08,9.33,15,2.96,4.74,8.66
"expGroceries",4.99,2.71,2.5,10.15,2.5,0,1.32,4.59
"expHotels",19.32,18.67,0,54.52,35,10.71,21.05,21.48
"expcamp",2.17,3.5,3.33,0,0,0,0,2.26
"expRec",1.39,1.55,0,0.73,0,0,2.63,1.36
"expSouvenirs",3.06,3.57,1.67,4.4,8.75,11.14,0,3.36
"expEqpRental",1.6,0.43,0,2.34,0,0,0,1.27
"expGuides",0.1,0,4.92,0,0,0,0,0.13
"expRail",6.16,4.99,2.29,10.69,10.75,6.43,8,6.22
"expOther",7.19,12.74,3.92,28.37,0,4.93,4.68,9.97
"Total_MeanExp",65.13,68.1,33.63,130.75,78.25,44.38,48.74,69.65
