"","Spending_All.Visitors","Spending_nonLocal.Visitors"
"expParkEntrance",14453267.799689,13729382.0795307
"expGas",41981426.66488,41040988.5901762
"expRentalCar",38267724.222344,38060237.1381455
"expPubTrans",1516240.635005,1044937.70451009
"expRestaurants",64429660.647066,62777793.6081027
"expGroceries",32407359.622357,31403609.220586
"expHotels",128845588.199188,129689679.942352
"expSpecLodge",57535319.949859,60837571.7384566
"expcamp",14532409.902166,14603693.8625417
"expRec",3707127.466423,3845029.65740275
"expSouvenirs",21330181.66827,20892300.9804983
"expEqpRental",4651083.114755,4502074.99828019
"expGuides",13516632.699122,13440672.9301327
"expOther",26271724.759925,25093252.9865901
"expAdditional",411325730.331652,426764966.239457
"Total_Visitor_Spending",874771477.682701,887726191.676763
