"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other","MEAN_byEXP"
"expParkEntrance",11.2,22.44,32.5,24.69,34,26.84,20.16,25.35
"expGas",23.65,55.42,77.67,73.84,89.95,150.22,79.84,76.93
"expRentalCar",5.19,31.21,112.65,108.23,41.06,51.47,54.06,74.09
"expPubTrans",0,0,1.54,2.95,0.61,24.71,0.44,3.67
"expRestaurants",16.59,64.79,246.8,164.51,59,94.01,88.28,124.25
"expGroceries",14.11,31.67,98.91,58.55,55.47,96.62,109.53,60.3
"expHotels",10.93,86.87,640.81,386.49,49.49,49.91,75.78,254.13
"expSpecLodge",0,25.97,448.95,130.45,33.29,28.6,32.81,110.65
"expcamp",0,28.63,16.28,3.74,60.13,111.79,4.22,25.11
"expRec",0,2.44,7.45,8.15,5.78,10.43,20.69,7.07
"expSouvenirs",7.68,31.17,59.12,46.81,22.88,43.26,71.81,40.57
"expEqpRental",0,5.49,31.24,4.55,9.09,11.03,11.25,8.34
"expGuides",0.56,21.41,14.57,16.83,59.62,18.09,12.03,21.54
"expOther",13.43,42.65,7.35,84.98,13.83,70.46,1.78,52.44
"expAdditional",13.24,335.21,1127.77,1219.97,470.72,389.63,466.88,794.4
"Total_MeanExp",116.58,785.37,2923.61,2334.74,1004.92,1177.07,1049.56,1678.84
