SEMvars,Searchvars
ID,ID
numAdults,NumAdults
numChild,NumChild
grpSize,GrpSize
grpType,GrpType
hoursPark,HoursinPark
daysPark,DaysinPark
local,LiveNearby
overnight,Overnight
nightsBackcountry,CampingBackcountry
nightsCampIn,CampingInPark
nightsCampOut,CampingOutPark
nightsLodgeIn,LodgingInPark
nightsLodgeOut,LodgingOutPark
nightsCruise,Cruise
nightsOther,OtherAccom
tripPurpose,TripPurpose
equallyNearby,b_Nearby
primaryNearby,PrimaryLoc
otherNPS,OtherNPS
otherNPSunits,OtherNPSCoded
hoursLocalArea,
daysLocalArea,
entries,a_ReEnter
DKentries,DKReEnter
package,package
daysPackage,daysPackage
costPackage,costPackage
numPeoplePackage,numPeoplePackage
airTransPackage,airTransPackage
groundTransPackage,groundTransPackage
waterTransPackage,waterTransPackage
lodgePackage,lodgePackage
mealsPackage,mealsPackage
guidePackage,guidePackage
feesPackage,feesPackage
gearPackage,gearPackage
admissionPackage,admissionPackage
otherPackage,otherPackage
otherPackageSpec,
expParkEntrance,Entrance999
expGas,GasCleaned
expRentalCar,RentalCar
expPubTrans,PubTrans
expRestaurants,Restaurants
expSnacks,Snacks
expGroceries,Groceries
expHotels,Hotels
expSpecLodge,
expcamp,Camping
expRec,Recreation
expSouvenirs,Souvenirs
expEqpRental,EquipRental
expGuides,
expRail,Railroad
expOther,OtherExpen
expOtherSpec,OtherExpenSpecify
expLocalTotal,
DKexpLocal,
expAdditional,AdditionalExpen999
DKexpAdditional,
adultsCovered,AdultsCovered
childrenCovered,ChildrenCovered
numCovered,
numSplit,SplitExpenses
zip,a_Zip
weight,
