SEMvars,Searchvars
groupID,ID
local,LiveNearby
international,a_Zip
entries,ReEnter
DKentries,DKReEnter
overnight,Overnight
nightsBackcountry,CampingBackcountry
nightsCampIn,CampingInPark
nightsCampOut,CampingOutPark
nightsLodgeIn,LodgingInPark
nightsLodgeOut,LodgingOutPark
nightsCruise,Cruise
nightsOther,OtherAccomdations
hoursPark,HoursinPark
daysPark,DaysinPark
package,package
daysPackage,daysPackage
costPackage,costPackage
numPeoplePackage,numPeoplePackage
airTransPackage,airTransPackage
groundTransPackage,groundTransPackage
waterTransPackage,waterTransPackage
lodgePackage,lodgePackage
mealsPackage,mealsPackage
guidePackage,guidePackage
feesPackage,feesPackage
gearPackage,gearPackage
admissionPackage,admissionPackage
otherPackage,otherPackage
expParkEntrance,Entrance999
expGas,Gas
expRentalCar,RentalCar
expPubTrans,PublicTransportation
expRestaurants,Restaurants
expSnacks,Snacks
expGroceries,Groceries
expHotels,Hotels
expEqpRental,EquipmentRental
expSpecLodge,SpecialtyLodge999
expcamp,Camping
expRec,Recreation
expSouvenirs,Souvenirs
expGuides,Guide999
expRail,Railroad
expTours,Tours
expOther,OtherExpen
expAdditional,AdditionalExpen999
expAreaTotal,TotalExpenditures
AdultsCovered,AdultsCovered
ChildrenCovered,ChildrenCovered
